s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2,width
30.6538750,-22.2663081,12.7007052,1.3882662,0.0000000,5.6766435,-2346.4928301,12.0000000
31.2215394,-22.8245422,12.8037466,1.3882662,-0.0000000,5.6766435,-2399.7174696,12.0000000
31.7892037,-23.3827763,12.9067881,1.3882662,-0.0000000,5.6766435,-2453.0973279,12.0000000
32.3568681,-23.9410103,13.0098296,1.3882662,0.0000000,5.6766435,-2506.6227082,12.0000000
32.9245324,-24.4992444,13.1128710,1.3882662,-0.0000000,5.6766435,-2560.2846816,12.0000000
33.4921968,-25.0574785,13.2159125,1.3882662,0.0000000,5.6766435,-2614.0750149,12.0000000
34.0598611,-25.6157125,13.3189540,1.3882662,0.0000000,5.6766435,-2667.9861062,12.0000000
34.6275255,-26.1739466,13.4219954,1.3882662,-0.0000000,5.6766435,-2722.0109269,12.0000000
35.1951898,-26.7321807,13.5250369,1.3882662,-0.0000000,5.6766435,-2776.1429705,12.0000000
35.7628542,-27.2904147,13.6280783,1.3882662,0.0000000,5.6766435,-2830.3762059,12.0000000
36.3305185,-27.8486488,13.7311198,1.3882662,-0.0000000,5.6766435,-2884.7050360,12.0000000
36.8981829,-28.4046839,13.8454343,1.3680328,0.1782508,5.6766435,-2938.8117524,12.0000000
37.4658472,-28.9584610,13.9702290,1.3491471,0.1663798,5.6766435,-2993.0566805,12.0000000
38.0335116,-29.5098999,14.1049804,1.3311297,0.1587310,5.6766435,-3047.7239911,12.0000000
38.6011759,-30.0588875,14.2493946,1.3135684,0.1547137,5.6766435,-3102.7451336,12.0000000
39.1688403,-30.6052669,14.4033826,1.2960883,0.1539984,5.6766435,-3158.0674746,12.0000000
39.7365046,-31.1312414,14.6169095,1.1851590,0.9753237,5.6766435,-3213.0937114,12.0000000
40.3041690,-31.6375659,14.8735771,1.1016255,0.7351037,5.6766435,-3269.0054735,12.0000000
40.8718333,-32.1264502,15.1620819,1.0376665,0.5631176,5.6766435,-3325.9207087,12.0000000
41.4394977,-32.6003027,15.4746625,0.9876616,0.4403771,5.6766435,-3383.0004947,12.0000000
42.0071620,-33.0612764,15.8059418,0.9476622,0.3523155,5.6766435,-3439.8821021,12.0000000
